ds,precio,opu,feriados,cyber,mobility,oil_price,copper_price,perc_zero_stock,quarter,month,year,dayofyear,weekofyear,y_lag_1,y_lag_2,y_lag_3,y_lag_4,rolling_mean_1,rolling_mean_2,rolling_mean_3,rolling_mean_4
2020-01-13,-0.7061665426879944,-0.014721583606765194,0,0,1.2516885642478446,0.007824309668033566,-0.9780578552923221,-0.5130612291126256,1,1,2020,13,3,,,,,,,,
2020-01-20,-0.35273803079581706,-0.014721583606765194,0,0,1.2516885642478446,-0.07193897100337346,-1.0956248445053547,-0.6246661160312592,1,1,2020,20,4,14154.0,,,,,,,
2020-01-27,-0.2592801473286527,-0.014721583606765194,0,0,1.2516885642478446,-0.26012431745073533,-1.3381791391329205,-0.7866931588535903,1,1,2020,27,5,11504.0,14154.0,,,,,,
2020-02-03,-0.3150886821557972,-0.014721583606765194,0,0,1.2516885642478446,-0.3725258959957741,-1.3165615680467497,-0.8005383317991546,1,2,2020,34,6,0.0,11504.0,14154.0,,,,,
2020-02-10,-0.2865276623483264,-0.502636870414923,0,0,1.3493777452666522,-0.33774841346525614,-1.2859152292426939,-0.7563995462309614,1,2,2020,41,7,13842.0,0.0,11504.0,14154.0,9875.0,,,
2020-02-17,-0.29199497356416265,-0.502636870414923,0,0,1.2107608949971365,-0.25021485838505175,-1.2744845100397402,-0.8157127109041648,1,2,2020,48,8,11964.0,13842.0,0.0,11504.0,9327.5,9875.0,,
2020-02-24,-0.25295519169044567,-0.502636870414923,0,0,1.3775281942726008,-0.46529730801069713,-1.3172049481386003,-0.8262674698122561,1,2,2020,55,9,12216.0,11964.0,13842.0,0.0,9505.5,9327.5,9875.0,
2020-03-02,-0.2897050439129865,-0.502636870414923,0,0,1.3493486147580225,-0.5976121804877285,-1.3066535146322553,-0.8129592972735535,1,3,2020,62,10,10642.0,12216.0,11964.0,13842.0,12166.0,9505.5,9327.5,9875.0
2020-03-09,-0.2647240846874361,-0.502636870414923,0,0,0.9716429439103018,-1.222285604828293,-1.417829594503988,-0.814622816621753,1,3,2020,69,11,11172.0,10642.0,12216.0,11964.0,11498.5,12166.0,9505.5,9327.5
2020-03-16,-0.30951593044779036,-0.502636870414923,0,0,-0.7409021956048238,-1.5811967746072881,-1.7298689390513866,-0.8262674698122561,1,3,2020,76,12,9354.0,11172.0,10642.0,12216.0,10846.0,11498.5,12166.0,9505.5
2020-03-23,-0.2462993745355049,-0.502636870414923,0,0,-1.5024308199974679,-1.6538661410889672,-1.8319090216188452,-0.8262674698122561,1,3,2020,83,13,5314.0,9354.0,11172.0,10642.0,9120.5,10846.0,11498.5,12166.0
2020-03-30,-0.24332456594456953,-0.502636870414923,0,0,-1.410716317868979,-1.667361880578422,-1.7967804686038185,-0.8626431502945962,1,3,2020,90,14,4016.0,5314.0,9354.0,11172.0,7464.0,9120.5,10846.0,11498.5
2020-04-06,-0.22468714129751047,-0.502636870414923,3,0,-1.5933996754654751,-1.597429412314884,-1.7236924901696238,-0.8626431502945962,2,4,2020,97,15,4404.0,4016.0,5314.0,9354.0,5772.0,7464.0,9120.5,10846.0
2020-04-13,-0.5174698959892358,2.0589183941713696,0,0,-1.3731591532512082,-1.799582377254828,-1.6198509433449841,-0.8055097786244928,2,4,2020,104,16,3732.0,4404.0,4016.0,5314.0,4366.5,5772.0,7464.0,9120.5
2020-04-20,-0.6027350688799562,2.0589183941713696,1,0,-1.3159849931308325,-2.5633657317174645,-1.6210090275103148,-0.7142645227373273,2,4,2020,111,17,6316.0,3732.0,4404.0,4016.0,4617.0,4366.5,5772.0,7464.0
